artist_name,Artist_ID,Artist_Image_URL
Smiley,6jeg7JBX9J9097esK752iR,https://i.scdn.co/image/ab6761610000e5eb0612e91e7f1583019092e3d9
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,https://i.scdn.co/image/ab6761610000e5ebb645c02cfa05103299775097
Headie One,6UCQYrcJ6wab6gnQ89OJFh,https://i.scdn.co/image/ab6761610000e5ebe9dfaa7a20e538393b3c2909
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,https://i.scdn.co/image/ab6761610000e5eb078fdd734b7f0aa782328428
J Hus,2a0uxJgbvvIRI4GX8pYfcr,https://i.scdn.co/image/ab6761610000e5eb5e58d093b8bedfa530c2dd61
4batz,5fi7lIgJGH3RgUpJYcffQ7,https://i.scdn.co/image/ab6761610000e5ebb9d7b39ae0ddaf062a2a72d2
The Game,0NbfKEOTQCcwd6o7wSDOHI,https://i.scdn.co/image/ab6761610000e5eba657aa5506945d264e147244
N.E.R.D,5wPoxI5si3eJsYYwyXV4Wi,https://i.scdn.co/image/ab6761610000e5eb191233557c296f4b113b57be
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,https://i.scdn.co/image/ab6761610000e5eb24b3c0f33bc5e3f6a53f84d7
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,https://i.scdn.co/image/ab6761610000e5eb876faa285687786c3d314ae0
Jeezy,4yBK75WVCQXej1p04GWqxH,https://i.scdn.co/image/ab6761610000e5eb075a4c9d6da66addd8247c12
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,https://i.scdn.co/image/ab6761610000e5ebebfd16a3bca87c31c1e20576
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,https://i.scdn.co/image/ab6761610000e5ebe187dca750abfd3688836309
The Neptunes,0KuF7reCTOZwV7YJnHQqgr,https://i.scdn.co/image/ab6761610000e5ebcf7dcb181fc5db70e2252aac
Dave,4XmXrxfPJr90IYeBwKrlKT,https://i.scdn.co/image/ab67616d0000b273d01d38ca7b5587dbae0b00c7
Static Major,3pbi8H08p95NUZ7m6ybxUV,https://i.scdn.co/image/ab6761610000e5eb5ccc476e8b18673e01d87420
Lykke Li,6oBm8HB0yfrIc9IHbxs6in,https://i.scdn.co/image/ab6761610000e5eb0bf8a86c8e3a34bb4934abb7
Popcaan,62DmErcU7dqZbJaDqwsqzR,https://i.scdn.co/image/ab6761610000e5ebf502679688eab84d1612616e
Central Cee,5H4yInM5zmHqpKIoMNAx4r,https://i.scdn.co/image/ab6761610000e5ebf6469f2cbf0a7e78744a3173
dvsn,7e1ICztHM2Sc4JNLxeMXYl,https://i.scdn.co/image/ab6761610000e5eb95000007448cd5d31b13a425
Pimp C,7v9bFXCdSMA2o3gS4nvp0F,https://i.scdn.co/image/1dc3aa21b257e9d81b6d80ca6f14f23a4c082b49
Drakeo the Ruler,0p4ViyfJUTW0IT4SCBLexf,https://i.scdn.co/image/ab6761610000e5eba603aef1d62687aa6af6f01f
André 3000,74V3dE1a51skRkdII8y2C6,https://i.scdn.co/image/ab6761610000e5eb1984263efe557e8116f0780a
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36
